Stories,,,,,,,,,
Theoretical Profit By Item,,,,,,,,,
22-Jan-26,,,Years:2025 Month:0,,,,Page 1 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
Stories - Bir Hasan,,,,,,,,,
TAKE AWAY,,,,,,,,,
BEVERAGES,,,,,,,,,
COLD BAR SECTION,,,,,,,,,
1 SHOT DECAFE,404.00,0.00,,"3,856.85",0.00,"-3,856.85",,100.00,
2 SHOT DECAFE,637.00,0.00,,"12,162.45",0.00,"-12,162.45",,100.00,
3 SHOT DECAFE,113.00,0.00,,"3,236.32",0.00,"-3,236.32",,100.00,
ADD BANANA SAUCE LARGE,4.00,"266.67",,"139.97",52.49,"126.69",,47.51,
ADD BANANA SAUCE MEDIUM,47.00,"1,487.39",,"822.34",55.29,"665.04",,44.71,
ADD BANANA SAUCE SMALL,28.00,"893.72",,"489.91",54.82,"403.82",,45.18,
ADD CARAMEL DRIZZLE,700.00,"23,370.36",,"2,349.38",10.05,"21,020.99",,89.95,
ADD CARAMEL LARGE,313.00,"10,488.50",,"2,690.19",25.65,"7,798.31",,74.35,
ADD CARAMEL MEDIUM,"1,142.00","37,584.33",,"8,923.01",23.74,"28,661.32",,76.26,
ADD CARAMEL SF LARGE,236.00,"7,889.52",,"3,097.89",39.27,"4,791.63",,60.73,
ADD CARAMEL SF MEDIUM,851.00,"28,513.00",,"8,378.09",29.38,"20,134.91",,70.62,
ADD CARAMEL SF SMALL,848.00,"28,567.21",,"5,565.71",19.48,"23,001.50",,80.52,
ADD CARAMEL SMALL,552.00,"12,662.43",,"2,875.37",22.71,"9,787.07",,77.29,
ADD CHOCOLATE DRIZZLE,227.00,"7,703.96",,"748.50",9.72,"6,955.46",,90.28,
ADD FULL FAT MILK,20.00,0.00,,"67.12",0.00,"-67.12",,100.00,
ADD HAZELNUT LARGE,104.00,"3,530.54",,"1,126.27",31.90,"2,404.27",,68.10,
ADD HAZELNUT MEDIUM,324.00,"10,677.66",,"3,189.78",29.87,"7,487.88",,70.13,
ADD HAZELNUT SMALL,283.00,"9,072.88",,"1,857.42",20.47,"7,215.46",,79.53,
ADD MATCHA LARGE,3.00,"186.19",,"139.62",74.99,"46.57",,25.01,
ADD MATCHA MEDIUM,1.00,"54.05",,"37.23",68.88,"16.82",,31.12,
ADD MATCHA SMALL,4.00,"180.18",,"111.70",61.99,"68.48",,38.01,
ADD MOCHA LARGE,42.00,"1,434.74",,"830.94",57.92,"603.81",,42.08,
ADD MOCHA MEDIUM,70.00,"2,373.27",,"1,038.67",43.77,"1,334.60",,56.23,
ADD MOCHA SMALL,25.00,"622.25",,"247.30",39.74,"374.95",,60.26,
ADD RASPBERRY SAUCE LARGE,26.00,"1,746.67",,"819.66",46.93,"927.00",,53.07,
ADD RASPBERRY SAUCE MEDIUM,69.00,"2,303.33",,"1,087.63",47.22,"1,215.70",,52.78,
ADD RASPBERRY SAUCE SMALL,61.00,"2,033.33",,"961.53",47.29,"1,071.81",,52.71,
ADD SHOT,"6,260.50","181,530.12",,"55,471.16",30.56,"126,058.96",,69.44,
ADD SKIMMED MILK,4.00,0.00,,"13.43",0.00,"-13.43",,100.00,
22-Jan-26,,,Years:2025 Month:0,,,,Page 2 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
ADD TOFFEE NUT MEDIUM,6.00,"200.03",,"95.77",47.88,"104.26",,52.12,
ADD TOFFEE NUT SMALL,5.00,"120.12",,"59.86",49.83,"60.26",,50.17,
ADD VANILLA LARGE,405.00,"13,562.16",,"4,641.21",34.22,"8,920.95",,65.78,
ADD VANILLA MEDIUM,"1,041.00","34,379.70",,"8,133.85",23.66,"26,245.86",,76.34,
ADD VANILLA SF LARGE,403.00,"13,469.40",,"5,819.05",43.20,"7,650.35",,56.80,
ADD VANILLA SF MEDIUM,"1,243.00","40,685.77",,"12,237.33",30.08,"28,448.43",,69.92,
ADD VANILLA SF SMALL,935.00,"30,951.17",,"6,136.72",19.83,"24,814.46",,80.17,
ADD VANILLA SMALL,464.00,"13,250.75",,"2,416.97",18.24,"10,833.78",,81.76,
ADD WHIPPED CREAM,661.00,"22,951.08",,"5,856.79",25.52,"17,094.29",,74.48,
ADD WHITE MOCHA LARGE,225.00,"7,543.60",,"1,933.20",25.63,"5,610.40",,74.37,
ADD WHITE MOCHA MEDIUM,943.00,"30,878.71",,"6,076.69",19.68,"24,802.02",,80.32,
ADD WHITE MOCHA SMALL,"1,312.00","22,219.73",,"5,636.35",25.37,"16,583.38",,74.63,
ADD YIRGACHEFFE SHOT,297.00,"9,986.40",,"2,835.36",28.39,"7,151.04",,71.61,
BLUE NADE,278.00,"74,442.04",,"18,711.72",25.14,"55,730.32",,74.86,
CARAMEL CREAM  FRAPP LARGE,47.00,"14,801.00",,"3,015.88",20.38,"11,785.11",,79.62,
CARAMEL CREAM  FRAPP MEDIUM,231.00,"62,823.42",,"9,814.53",15.62,"53,008.90",,84.38,
CARAMEL CREAM FRAPP SMALL,292.00,"66,702.43",,"9,491.94",14.23,"57,210.49",,85.77,
CARAMEL FRAPP LARGE,593.00,"193,013.81",,"42,481.32",22.01,"150,532.49",,77.99,
CARAMEL FRAPP MEDIUM,"1,667.00","458,855.86",,"118,382.42",25.80,"340,473.43",,74.20,
CARAMEL FRAPP SMALL,"1,184.00","277,575.71",,"66,746.01",24.05,"210,829.70",,75.95,
CHOCOLATE CREAM FRAP SMALL,226.00,"49,990.84",,"11,676.44",23.36,"38,314.40",,76.64,
CHOCOLATE CREAM FRAPP LARGE,42.00,"11,769.34",,"2,987.61",25.38,"8,781.73",,74.62,
CHOCOLATE CREAM FRAPP MEDIUM,311.00,"84,577.54",,"21,406.95",25.31,"63,170.59",,74.69,
COFFEE FRAPP LARGE,115.00,"30,809.13",,"6,953.85",22.57,"23,855.28",,77.43,
COFFEE FRAPPE MEDIUM,157.00,"36,343.45",,"9,132.28",25.13,"27,211.17",,74.87,
COFFEE FRAPPE SMALL,164.00,"31,709.01",,"7,840.52",24.73,"23,868.49",,75.27,
COLD BREW BOTTLE,325.00,"45,426.43",,"13,859.25",30.51,"31,567.18",,69.49,
DOUBLE SHOT SHAKEN LARGE,143.00,"39,785.59",,"10,472.34",26.32,"29,313.24",,73.68,
DOUBLE SHOT SHAKEN MEDIUM,815.00,"195,503.38",,"41,774.91",21.37,"153,728.48",,78.63,
DOUBLE SHOT SHAKEN SMALL,990.00,"133,767.93",,"31,661.60",23.67,"102,106.33",,76.33,
ESPRESSO FRAPP LARGE,93.00,"24,893.21",,"6,447.57",25.90,"18,445.64",,74.10,
ESPRESSO FRAPP MEDIUM,440.00,"101,969.82",,"24,707.60",24.23,"77,262.22",,75.77,
ESPRESSO FRAPP SMALL,314.00,"58,380.90",,"14,379.42",24.63,"44,001.48",,75.37,
HAZELNUT FRAPP LARGE,5.00,"1,410.81",,"351.57",24.92,"1,059.24",,75.08,
HAZELNUT FRAPP MEDIUM,38.00,"10,200.36",,"2,584.47",25.34,"7,615.89",,74.66,
22-Jan-26,,,Years:2025 Month:0,,,,Page 3 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
HAZELNUT FRAPP SMALL,12.00,"2,838.68",,"652.46",22.98,"2,186.22",,77.02,
ICED AMERICANO LARGE,86.00,"23,314.04",,"4,228.11",18.14,"19,085.93",,81.86,
ICED AMERICANO MEDIUM,277.00,"65,131.15",,"9,828.61",15.09,"55,302.54",,84.91,
ICED AMERICANO SMALL,275.00,"51,122.04",,"6,074.54",11.88,"45,047.50",,88.12,
ICED CARAMEL MACCHIATO LARGE,285.00,"90,609.58",,"16,627.27",18.35,"73,982.31",,81.65,
ICED CARAMEL MACCHIATO MEDIUM,"1,273.00","349,945.71",,"64,606.37",18.46,"285,339.34",,81.54,
ICED CARAMEL MACCHIATO SMALL,606.00,"142,672.61",,"19,504.63",13.67,"123,167.98",,86.33,
ICED CLASSIC CHOC LARGE,8.00,"2,521.62",,"488.18",19.36,"2,033.44",,80.64,
ICED CLASSIC CHOC MEDIUM,41.00,"11,129.85",,"1,866.28",16.77,"9,263.57",,83.23,
ICED CLASSIC CHOC SMALL,30.00,"6,990.81",,"1,161.65",16.62,"5,829.16",,83.38,
ICED DOUBLE SHOT TOFFEE NUT MEDIUM,3.00,"800.24",,"211.50",26.43,"588.74",,73.57,
ICED DOUBLE SHOT TOFFEE NUT SMALL,6.00,"1,428.42",,"283.41",19.84,"1,145.01",,80.16,
ICED LATTE LARGE,487.00,"136,147.51",,"23,011.76",16.90,"113,135.75",,83.10,
ICED LATTE MEDIUM,"2,048.00","485,830.78",,"83,965.16",17.28,"401,865.62",,82.72,
ICED LATTE SMALL,"1,404.00","209,897.12",,"34,608.42",16.49,"175,288.70",,83.51,
ICED LEMON TEA  MEDIUM,2.00,"533.33",,"57.87",10.85,"475.46",,89.15,
ICED LEMON TEA  SMALL,6.00,"1,400.00",,"121.58",8.68,"1,278.42",,91.32,
ICED MATCHA LATTE LARGE,535.00,"152,128.65",,"42,852.74",28.17,"109,275.91",,71.83,
ICED MATCHA LATTE MEDIUM,"1,198.00","289,938.77",,"77,315.46",26.67,"212,623.30",,73.33,
ICED MATCHA LATTE SMALL,685.00,"137,375.14",,"31,323.08",22.80,"106,052.06",,77.20,
ICED MOCHA LARGE,53.00,"16,562.13",,"3,339.47",20.16,"13,222.67",,79.84,
ICED MOCHA MEDIUM,266.00,"72,553.63",,"14,049.10",19.36,"58,504.54",,80.64,
ICED MOCHA SMALL,262.00,"43,218.65",,"8,522.40",19.72,"34,696.25",,80.28,
ICED PEACH TEA  MEDIUM,148.00,"36,160.96",,"7,039.62",19.47,"29,121.34",,80.53,
ICED PEACH TEA  SMALL,246.00,"26,173.48",,"8,714.42",33.29,"17,459.07",,66.71,
ICED PEACH TEA LARGE,51.00,"14,127.30",,"3,124.12",22.11,"11,003.18",,77.89,
ICED SALTED CARAMEL LATTE LARGE,47.00,"15,799.70",,"3,460.68",21.90,"12,339.02",,78.10,
ICED SALTED CARAMEL LATTE MEDIUM,221.00,"61,878.80",,"13,664.17",22.08,"48,214.62",,77.92,
ICED SALTED CARAMEL LATTE SMALL,110.00,"25,306.13",,"4,362.10",17.24,"20,944.03",,82.76,
ICED SPANISH LATTE MEDIUM,977.00,"293,712.65",,"54,450.07",18.54,"239,262.58",,81.46,
ICED SPANISH LATTE SMALL,510.00,"121,903.54",,"17,965.98",14.74,"103,937.57",,85.26,
ICED TOFFEE NUT LATTE LARGE,14.00,"4,667.27",,"1,089.97",23.35,"3,577.30",,76.65,
ICED TOFFEE NUT LATTE MEDIUM,86.00,"23,110.63",,"5,728.76",24.79,"17,381.87",,75.21,
ICED TOFFEE NUT LATTE SMALL,29.00,"6,896.22",,"1,313.02",19.04,"5,583.19",,80.96,
ICED WHITE MOCHA LARGE,386.00,"118,749.37",,"20,001.20",16.84,"98,748.17",,83.16,
22-Jan-26,,,Years:2025 Month:0,,,,Page 4 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
ICED WHITE MOCHA MEDIUM,"1,512.00","411,255.74",,"67,166.05",16.33,"344,089.69",,83.67,
ICED WHITE MOCHA SMALL,987.00,"198,670.81",,"26,582.00",13.38,"172,088.81",,86.62,
MATCHA CREAM  FRAPP SMALL,124.00,"24,400.36",,"6,431.31",26.36,"17,969.05",,73.64,
MATCHA CREAM FRAPP LARGE,85.00,"26,142.58",,"6,417.86",24.55,"19,724.72",,75.45,
MATCHA CREAM FRAPP MEDIUM,180.00,"47,568.41",,"12,338.89",25.94,"35,229.52",,74.06,
MOCHA FRAPP LARGE,210.00,"63,433.78",,"15,814.34",24.93,"47,619.44",,75.07,
MOCHA FRAPP MEDIUM,549.00,"149,388.71",,"40,080.04",26.83,"109,308.67",,73.17,
MOCHA FRAPP SMALL,260.00,"56,419.16",,"15,002.05",26.59,"41,417.11",,73.41,
NO WHIPPED CREAM,123.00,0.00,,"-1,089.84",0.00,"1,089.84",,100.00,
REPLACE 1 SHOT YIRGACHEFFE,"1,852.00","121,809.49",,"3,480.83",2.86,"118,328.66",,97.14,
REPLACE 2 SHOT YIRGACHEFFE,"1,550.00","101,295.80",,"5,826.45",5.75,"95,469.35",,94.25,
REPLACE 3 SHOT YIRGACHEFFE,249.00,"16,441.50",,"1,403.99",8.54,"15,037.51",,91.46,
REPLACE ALMOND LARGE,153.00,"22,600.30",,"8,558.44",37.87,"14,041.86",,62.13,
REPLACE ALMOND MEDIUM,501.00,"60,742.46",,"21,796.98",35.88,"38,945.48",,64.12,
REPLACE ALMOND SMALL,357.00,"34,112.78",,"11,094.27",32.52,"23,018.50",,67.48,
REPLACE COCONUT LARGE,158.00,"16,211.69",,"9,125.19",56.29,"7,086.50",,43.71,
REPLACE COCONUT MEDIUM,537.00,"52,650.67",,"24,122.07",45.82,"28,528.60",,54.18,
REPLACE COCONUT SMALL,464.00,"43,389.93",,"14,887.79",34.31,"28,502.14",,65.69,
REPLACE LACTOSE FREE LARGE,417.00,0.00,,"6,997.78",0.00,"-6,997.78",,100.00,
REPLACE LACTOSE FREE MEDIUM,"2,217.00",0.00,,"28,936.47",0.00,"-28,936.47",,100.00,
REPLACE LACTOSE FREE SMALL,"2,013.00",0.00,,"18,767.03",0.00,"-18,767.03",,100.00,
REPLACE SKIMMED MILK LARGE,640.00,0.00,,0.00,0.00,0.00,,100.00,
REPLACE SKIMMED MILK MEDIUM,"2,582.00",0.00,,0.00,0.00,0.00,,100.00,
REPLACE SKIMMED MILK SMALL,"1,848.00",0.00,,0.00,0.00,0.00,,100.00,
REPLACE SUGAR FREE ALMOND LARGE,51.00,"8,451.65",,"2,829.99",33.48,"5,621.66",,66.52,
REPLACE SUGAR FREE ALMOND MEDIUM,161.00,"21,795.80",,"5,955.93",27.33,"15,839.87",,72.67,
REPLACE SUGAR FREE ALMOND SMALL,134.00,"13,555.50",,"4,130.92",30.47,"9,424.57",,69.53,
REPLACE SUGAR FREE OAT LARGE,43.00,"7,207.51",,"2,164.78",30.04,"5,042.73",,69.96,
REPLACE SUGAR FREE OAT MEDIUM,175.00,"23,245.05",,"5,873.44",25.27,"17,371.61",,74.73,
REPLACE SUGAR FREE OAT SMALL,136.00,"13,030.36",,"3,803.75",29.19,"9,226.61",,70.81,
REPLACE SUGAR FREE SOYA LARGE,12.00,"2,059.31",,"563.85",27.38,"1,495.46",,72.62,
REPLACE SUGAR FREE SOYA MEDIUM,43.00,"5,920.24",,"1,346.97",22.75,"4,573.27",,77.25,
REPLACE SUGAR FREE SOYA SMALL,52.00,"5,233.42",,"1,357.42",25.94,"3,876.01",,74.06,
SALTED CARAMEL CREAM FRAPPE LARGE,13.00,"4,150.45",,"1,169.90",28.19,"2,980.55",,71.81,
22-Jan-26,,,Years:2025 Month:0,,,,Page 5 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
SALTED CARAMEL CREAM FRAPPE MEDIUM,54.00,"15,694.81",,"4,239.56",27.01,"11,455.25",,72.99,
SALTED CARAMEL CREAM FRAPPE SMALL,18.00,"4,516.63",,"1,127.24",24.96,"3,389.39",,75.04,
SALTED CARAMEL FRAPPE LARGE,59.00,"19,710.21",,"6,355.07",32.24,"13,355.14",,67.76,
SALTED CARAMEL FRAPPE MEDIUM,117.00,"33,553.15",,"11,259.07",33.56,"22,294.09",,66.44,
SALTED CARAMEL FRAPPE SMALL,59.00,"14,352.23",,"4,217.63",29.39,"10,134.60",,70.61,
SIGNATURE ICED CHOCOLATE LARGE,2.00,"618.62",,"210.77",34.07,"407.85",,65.93,
SIGNATURE ICED CHOCOLATE MEDIUM,9.00,"2,486.49",,"785.84",31.60,"1,700.65",,68.40,
SIGNATURE ICED CHOCOLATE SMALL,8.00,"1,669.67",,"530.98",31.80,"1,138.69",,68.20,
STRAWBERRY CREAM FRAPP LARGE,109.00,"32,620.66",,"8,035.95",24.63,"24,584.71",,75.37,
STRAWBERRY CREAM FRAPP MEDIUM,399.00,"109,091.41",,"28,497.95",26.12,"80,593.46",,73.88,
STRAWBERRY CREAM FRAPP SMALL,498.00,"109,873.78",,"26,667.85",24.27,"83,205.94",,75.73,
STRAWBERRY DRIZZLE TOPPING,41.00,"1,355.14",,"309.01",22.80,"1,046.12",,77.20,
STRAWBERRY SHAKE,2.00,"660.66",,"302.39",45.77,"358.27",,54.23,
TOFFEENUT CREAM  FRAP LARGE,2.00,"700.00",,"149.48",21.35,"550.52",,78.65,
TOFFEENUT CREAM  FRAP MEDIUM,6.00,"1,770.23",,"404.71",22.86,"1,365.53",,77.14,
TOFFEENUT CREAM  FRAP SMALL,4.00,"1,070.26",,"200.97",18.78,"869.29",,81.22,
TOFFEENUT FRAP LARGE,12.00,"4,167.57",,"986.53",23.67,"3,181.04",,76.33,
TOFFEENUT FRAP MEDIUM,32.00,"9,172.54",,"2,397.50",26.14,"6,775.04",,73.86,
TOFFEENUT FRAP SMALL,12.00,"3,047.20",,"714.89",23.46,"2,332.31",,76.54,
VANILLA CREAM FRAPP LARGE,29.00,"8,841.29",,"1,763.53",19.95,"7,077.76",,80.05,
VANILLA CREAM FRAPP MEDIUM,109.00,"28,588.11",,"6,377.66",22.31,"22,210.45",,77.69,
VANILLA CREAM FRAPP SMALL,111.00,"24,297.57",,"4,849.06",19.96,"19,448.51",,80.04,
VANILLA FRAP SMALL,83.00,"19,339.97",,"4,400.42",22.75,"14,939.55",,77.25,
